artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
der,samstag,samstags,saturday,zeit,wochenzeit,
der,sonnentag,sonnentags,sunday,zeit,wochenzeit,
der,sonnabend,sonnabends,saturday,zeit,wochenzeit,
der,joghurt,joghurts,yoghurt,essen,,
der,kaese,-,cheese,essen,,
der,kaffee,kaffees,coffee,essen,trinken,
der,tee,tees,tea,essen,trinken,
der,monat,monate,month,zeit,monate,
der,januar,/,january,zeit,monate,
der,februar,/,february,zeit,monate,
der,marz,/,march,zeit,monate,
der,april,/,april,zeit,monate,
der,mai,/,may,zeit,monate,
der,juni,/,june,zeit,monate,
der,juli,/,july,zeit,monate,
der,august,/,august,zeit,monate,
der,september,/,september,zeit,monate,
der,oktober,/,october,zeit,monate,
der,november,/,november,zeit,monate,
der,dezember,/,december,zeit,monate,
der,pullover,pullovern,sweater,kleider,,
der,ring,ringe,ring,kleider,,
der,schirm,schirme,umbrella,kleider,,
der,comic,comics,comic,schreibwaren,,
der,krimi,krimis,thriller,schreibwaren,,
der,workshop,workshops,workshop,setzt,,
der,mann,maenner,man,personen,,
der,familiename,familienamen,surname,,,
der,shauspieler,-,actor,arbeit,arbeitsplaetze,
der,saenger,-,singer,arbeit,arbeitsplaetze,
der,tennisspieler,-,tennis player,arbeit,arbeitsplaetze,
der,wonhort,wonhorte,place of residence,,,
der,bleistift,bleistifte,pencil,schreibwaren,,
der,kugelschreiber,kugelschreibern,pen,schreibwaren,,
der,radiergummi,radiergummis,eraser,schreibwaren,,
der,raum,raeume,room,haus,schule,
der,chor,chores,choir,aktivitaet,,
der,kurs,kurse,course,aktivitaet,,
der,termin,termine,meeting,,,
der,wochentag,wochentage,weekday,zeit,wochenzeit,
der,kilometer,kilometern,kilometer,,,
der,kiosk,kioske,kiosk,setzt,,
der,moment,momente,moment,zeit,,
der,apparat,apparate,apparatus,,,
der,fotoapparat,fotoapparate,camera,technologie,,
der,glueckwunsch,glueckwuensche,congratulations,,,
der,ipod,ipods,ipod,technologie,,
der,muelleimer,-,garbage can,haus,,
der,hamburger,-,hamburger,essen,,
der,hunger,/,hunger,essen,,
der,kakao,-,cocoa,essen,trinken,
der,quark,quarks,mayonnaise,essen,,
der,saft,saefte,juice,essen,trinken,
der,laden,laeden,shop,setzt,,
der,ohrring,ohrringe,earing,kleider,,
der,schmuck,-,jewelry,kleider,,
der,shuh,shuhe,shoe,kleider,,
der,arm,armen,poor,,,
der,arm,waffen,arm,körperteil,,
der,arzt,aerzte,doctor,arbeit,arbeitsplaetze,
der,bauch,baeuche,belly,körperteil,,
der,dank,danke,thank,,,
der,dialog,dialoge,dialog,,,
der,fuss,fuesse,foot,körperteil,,
der,finger,-,finger,körperteil,,
der,hals,haelse,neck,körperteil,,
der,kopf,koepfe,head,körperteil,,
der,mund,muender,mouth,körperteil,,
der,quatsch,/,nonsense,,,
der,plan,plaene,plan,,,
der,koerper,-,body,körperteil,,
der,schmerz,schmerzen,pain,krankheit,,
der,test,tests,test,schule,,
der,zahn,zaehne,tooth,körperteil,,
der,stress,*,stress,gefuehl,,
der,bahnhof,banhoefe,train station,setzt,transport,
der,bahnsteig,bahnsteige,train platform,setzt,transport,
der,bus,busse,bus,transport,,
der,fahrplan,fahrplaene,travel plan,,,
der,flughafen,flughaefen,airport,setzt,transport,
der,zug,zuege,train,transport,,
der,meter,meters,meter,,,
der,fluss,fluesse,river,setzt,natur,
der,chef,chefs,boss,arbeit,arbeitsplaetze,
der,koch,koeche,chef,arbeit,arbeitsplaetze,
der,guertel,-,belt,kleider,transport,
der,college,*,faculty,universität,,
der,kuenstler,-,artist,arbeit,arbeitsplaetze,
der,mantel,maentel,coat,kleider,,
der,rock,roecke,skirt,kleider,,
der,stiefel,-,boot,kleider,,
der,techniker,-,technician,arbeit,arbeitsplaetze,
der,laptop,laptops,laptop,technologie,,
der,strand,straende,beach,natur,setzt,
der,wald,waelder,forest,natur,setzt,
der,regen,-,rain,natur,,
der,auslaender,auslaender,foreigner,personen,,
der,klub,*,club,setzt,,
der,eiskaffee,-,iced coffee,essen,trinken,
der,gast,gaeste,geust,personen,,
der,farbestift,farbestifte,coloring pen,schreibwaren,,
der,absender,-,sender,sprache,,
der,anruf,anruefe,call,sprache,,
der,empfaenger,-,recipient,sprache,,
der,frisoer,frisoere,hair stylist,arbiet,arbeitsplaetze,
der,rat,raete,advice,,,
der,abflug,abfluege,take off,transport,,
der,anschluss,anschluesse,connection,transport,,
der,ausgang,ausgaenge,exit,transport,,
der,eingang,eingaenge,entrance,transprt,,
der,baum,baeume,tree,natur,,
der,buchladen,buchlaeden,bookstore,setzt,,
der,fahrkartenautomat,fahrkartenautomaten,ticket machine,trasnport,,
der,fernseher,-,television,haus,,
der,fremde,fremden,foreigner,personen,,
der,imbiss,imbisse,fast food restaurant,setzt,,
der,jugendliche,jugendlichen,young man,personen,,
der,LKW,LKWs,truck,transport,,
der,schalter,-,ticket counter,,,
der,drucker,-,printer,technologie,,
der,fahrradstaender,-,bicycle stand,setzt,,
der,feiertag,feiertage,holiday,,,
der,flug,fluege,flight,transport,,
der,fuehrerschein,fuehrerscheine,driver license,transport,,
der,ober,-,waiter,arbeitsplaetze,personen,
der,optiker,-,optician,arbeitsplaetze,personen,
der,rueckruf,rueckruefe,call again,sprache,,
der,service,services,customer service,sprache,,
der,spaziergang,spaziergaenge,a walk,,,
der,verleih,verleihe,renting,,,
der,wohnraum,wohnraeume,neighborhood,setzt,,
der,ehemann,ehemanner,husband,personen,,
der,koffer,-,suitcase,transport,,
der,kundendienst,kundendienste,customer service(k-),,,
der,notfall,notfalle,emergency,,,
der,weltrekord,weltrekorde,world record,,,
der,bekannte,bekannten,acquaintance,personen,,
der,bescheid,bescheide,decision,,,
der,grund,gruende,reason,,,
der,kalendar,-,calendar,,,
der,rahmen,-,frame,,,
der,wunsch,wuensche,wish,,,
e,decision,,,
der,grund,gruende,reason,,,
der,kalendar,-,calendar,,,
der,rahmen,-,frame,,,
der,wunsch,wuensche,wish,,,
