artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
das,feuer,-,fire,,,
das,licht,lichter,light,,,
das,modell,modelle,model,,,
das,opernhaus,opernhaeuser,opera house,setzt,,
das,papier,papiere,paper,schreibwaren,,
das,verkehrsschild,verkehrsschilder,traffic signs,transport,,
das,abendkleid,abdenkleider,night gown,kleider,,
das,accessorie,accessories,accessorie,kleider,,
das,camping,/,camping,aktivitaet,,
das,erdgeschoss,erdgeschosse,ground floor,setzt,,
das,obergeschoss,obergeschosse,top floor,setzt,,
das,untergeschoss,untergeschoss,bottom floor,setzt,,
das,feuerzeug,feuerzeuge,lighter,,,
das,fundbuero,fundbeuros,lost and found office,setzt,,
das,guiness buch der rekorde,/,guiness book of world records,,,
das,feuerwerk,feuerwerke,fireworks,,,
das,ostern,-,easter,zeit,,
das,silvester,-,new year eve,zeit,,
das,zertifikat,zertifikate,certificate,,,
,easter,zeit,,
das,silvester,-,new year eve,zeit,,
das,zertifikat,zertifikate,certificate,,,
